"SampleID","TAXAID","TotTranLngth_m","Juvenile","DiamMax_cm","DiamPerp_cm","Height_cm","TotMort_pct"
"Samp0065","Porites astreoides",10,FALSE,6,5,5,0
"Samp0065","Porites astreoides",10,FALSE,4,3,3,0
"Samp0074","Stephanocoenia intersepta",10,FALSE,15,5,4,65
"Samp0074","Stephanocoenia intersepta",10,FALSE,12,6,1,40
"Samp0074","Stephanocoenia intersepta",10,FALSE,10,7,3,0
"Samp0074","Stephanocoenia intersepta",10,FALSE,8,6,3,0
"Samp0074","Stephanocoenia intersepta",10,FALSE,6,5,1,0
"Samp0074","Stephanocoenia intersepta",10,FALSE,5,4,3,0
"Samp0074","Siderastrea siderea",10,FALSE,19,12,10,65
"Samp0074","Siderastrea siderea",10,FALSE,16,7,5,20
"Samp0074","Siderastrea siderea",10,FALSE,11,9,5,20
"Samp0074","Siderastrea siderea",10,FALSE,8,5,4,10
"Samp0074","Siderastrea siderea",10,FALSE,6,5,3,10
"Samp0074","Siderastrea siderea",10,FALSE,5,3,2,0
"Samp0074","Porites astreoides",10,FALSE,17,11,13,10
"Samp0074","Porites astreoides",10,FALSE,12,8,8,30
"Samp0074","Porites astreoides",10,FALSE,10,5,4,0
"Samp0074","Porites astreoides",10,FALSE,9,5,9,10
"Samp0074","Porites astreoides",10,FALSE,5,3,2,10
"Samp0074","Orbicella faveolata",10,FALSE,22,15,8,20
"Samp0074","Orbicella faveolata",10,FALSE,13,6,6,30
"Samp0074","Montastraea cavernosa",10,FALSE,7,5,8,0
"Samp0074","Montastraea cavernosa",10,FALSE,6,3,2,0
"Samp0074","Montastraea cavernosa",10,FALSE,6,4,5,0
"Samp0074","Madracis decactis",10,FALSE,40,16,12,70
"Samp0074","Madracis decactis",10,FALSE,12,9,8,30
"Samp0074","Diploria labyrinthiformis",10,FALSE,5,3,2,0
"Samp0074","Agaricia humilis",10,FALSE,7,4,3,0
"Samp0074","Agaricia fragilis",10,FALSE,10,7,3,0
"Samp0074","Agaricia fragilis",10,FALSE,9,7,2,0
"Samp0074","Agaricia fragilis",10,FALSE,8,7,3,0
"Samp0074","Agaricia fragilis",10,FALSE,6,4,1,0
"Samp0074","Agaricia agaricites",10,FALSE,24,11,15,0
"Samp0074","Agaricia agaricites",10,FALSE,18,16,5,40
"Samp0074","Agaricia agaricites",10,FALSE,10,5,2,0
"Samp0074","Agaricia agaricites",10,FALSE,9,9,1,10
"Samp0074","Agaricia agaricites",10,FALSE,7,4,1,0
"Samp0084","Stephanocoenia intersepta",10,FALSE,90,63,54,60
"Samp0084","Stephanocoenia intersepta",10,FALSE,25,12,20,50
"Samp0084","Stephanocoenia intersepta",10,FALSE,16,13,14,30
"Samp0084","Stephanocoenia intersepta",10,FALSE,16,15,14,0
"Samp0084","Stephanocoenia intersepta",10,FALSE,14,12,9,0
"Samp0084","Stephanocoenia intersepta",10,FALSE,12,8,5,0
"Samp0084","Stephanocoenia intersepta",10,FALSE,12,8,10,20
"Samp0084","Stephanocoenia intersepta",10,FALSE,11,3,1,0
"Samp0084","Stephanocoenia intersepta",10,FALSE,11,8,4,0
"Samp0084","Stephanocoenia intersepta",10,FALSE,10,6,5,0
"Samp0084","Stephanocoenia intersepta",10,FALSE,9,8,4,0
"Samp0084","Stephanocoenia intersepta",10,FALSE,8,4,2,0
"Samp0084","Stephanocoenia intersepta",10,FALSE,8,4,4,0
"Samp0084","Stephanocoenia intersepta",10,FALSE,8,6,5,50
"Samp0084","Stephanocoenia intersepta",10,FALSE,7,5,4,40
"Samp0084","Stephanocoenia intersepta",10,FALSE,6,5,3,0
"Samp0084","Stephanocoenia intersepta",10,FALSE,5,3,1,0
"Samp0084","Stephanocoenia intersepta",10,FALSE,4,3,1,0
"Samp0084","Siderastrea siderea",10,FALSE,48,31,21,55
"Samp0084","Siderastrea siderea",10,FALSE,47,30,60,0
"Samp0084","Siderastrea siderea",10,FALSE,28,21,15,25
"Samp0084","Siderastrea siderea",10,FALSE,20,14,17,70
"Samp0084","Siderastrea siderea",10,FALSE,18,16,18,80
"Samp0084","Siderastrea siderea",10,FALSE,15,8,9,50
"Samp0084","Siderastrea siderea",10,FALSE,8,7,4,20
