DataSource,SampleID,TotTranLngth_m,SampDate,TAXAID,CommonName,Juvenile,DiamMax_cm,DiamPerp_cm,Height_cm,TotMort_pct,BCG_ATTR,Weedy,LRBC,MorphConvFact,Phylum,Class,SubClass,Order,Family,Genus,SubGenus,Species
NCRMP,Samp0005,10,12/8/2016,Orbicella faveolata,Mountainous star coral,FALSE,27,23,25,7,3,Never,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Merulinidae,Orbicella,Anthozoa,faveolata
NCRMP,Samp0005,10,12/8/2016,Mycetophyllia ferox,Rough cactus coral,FALSE,30,22,8,35,2,Sometimes,FALSE,1,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Mussidae,Mycetophyllia,Anthozoa,ferox
NCRMP,Samp0005,10,12/8/2016,Montastraea cavernosa,Great star coral,FALSE,17,15,3,15,4,Never,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Montastraeidae,Montastraea,Anthozoa,cavernosa
NCRMP,Samp0005,10,12/8/2016,Dichocoenia stokesii,Elliptical star coral,FALSE,19,11,3,65,3,Never,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Meandrinidae,Dichocoenia,Anthozoa,stokesii
NCRMP,Samp0005,10,12/8/2016,Agaricia agaricites,Low relief lettuce coral,FALSE,19,8,6,15,4,Sometimes,FALSE,1,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,Anthozoa,agaricites
NCRMP,Samp0005,10,12/8/2016,Agaricia agaricites,Low relief lettuce coral,FALSE,9,8,2,15,4,Sometimes,FALSE,1,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,Anthozoa,agaricites
NCRMP,Samp0005,10,12/8/2016,Agaricia agaricites,Low relief lettuce coral,FALSE,5,5,1,5,4,Sometimes,FALSE,1,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,Anthozoa,agaricites
NCRMP,Samp0005,10,12/8/2016,Agaricia agaricites,Low relief lettuce coral,FALSE,4,4,2,30,4,Sometimes,FALSE,1,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,Anthozoa,agaricites
NCRMP,Samp0004,10,5/28/2015,Agaricia agaricites,Low relief lettuce coral,TRUE,,,,32,4,Sometimes,FALSE,1,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,Anthozoa,agaricites
NCRMP,Samp0004,10,5/28/2015,Agaricia agaricites,Low relief lettuce coral,TRUE,,,,5,4,Sometimes,FALSE,1,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,Anthozoa,agaricites
NCRMP,Samp0004,10,5/28/2015,Agaricia agaricites,Low relief lettuce coral,TRUE,,,,10,4,Sometimes,FALSE,1,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,Anthozoa,agaricites
NCRMP,Samp0004,10,5/28/2015,Dichocoenia stokesii,Elliptical star coral,TRUE,,,,11,3,Never,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Meandrinidae,Dichocoenia,Anthozoa,stokesii
NCRMP,Samp0004,10,5/28/2015,Dichocoenia stokesii,Elliptical star coral,TRUE,,,,0,3,Never,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Meandrinidae,Dichocoenia,Anthozoa,stokesii
NCRMP,Samp0004,10,5/28/2015,Dichocoenia stokesii,Elliptical star coral,TRUE,,,,0,3,Never,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Meandrinidae,Dichocoenia,Anthozoa,stokesii
NCRMP,Samp0004,10,5/28/2015,Dichocoenia stokesii,Elliptical star coral,TRUE,,,,15,3,Never,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Meandrinidae,Dichocoenia,Anthozoa,stokesii
NCRMP,Samp0004,10,5/28/2015,Dichocoenia stokesii,Elliptical star coral,TRUE,,,,0,3,Never,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Meandrinidae,Dichocoenia,Anthozoa,stokesii
NCRMP,Samp0004,10,5/28/2015,Dichocoenia stokesii,Elliptical star coral,TRUE,,,,80,3,Never,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Meandrinidae,Dichocoenia,Anthozoa,stokesii
