INDEX_CLASS,SampleID,TAXAID,N_TAXA
CIP_medium,KS_0041,ENALLAGMA,8
CIP_medium,KS_0041,ERPOBDELLIDAE,2
CIP_medium,KS_0041,FERRISSIA,1
CIP_medium,KS_0041,GLYPTOTENDIPES,1
CIP_medium,KS_0041,HELICHUS BASALIS,1
CIP_medium,KS_0041,HYALELLA AZTECA,21
CIP_medium,KS_0041,IRONOQUIA,2
CIP_medium,KS_0041,ISCHNURA,3
CIP_medium,KS_0041,MUSCULIUM TRANSVERSUM,5
CIP_medium,KS_0041,NEOPERLA,2
CIP_medium,KS_0041,NEOPORUS DIMIDIATUS,5
CIP_medium,KS_0041,NEUROCORDULIA MOLESTA,1
CIP_medium,KS_0041,ORCONECTES VIRILIS,2
CIP_medium,KS_0041,PARACLADOPELMA,1
CIP_medium,KS_0041,PELTODYTES LITORALIS,1
CIP_medium,KS_0041,PELTODYTES SEXMACULATUS,1
CIP_medium,KS_0041,PHYSELLA,2
CIP_medium,KS_0041,POLYPEDILUM (POLYPEDILUM) ILLINOENSE GR,7
CIP_medium,KS_0041,POLYPEDILUM (TRIPODURA) HALTERALE GR.,2
CIP_medium,KS_0041,POLYPEDILUM (URESIPEDILUM) CONVICTUM,15
CIP_medium,KS_0041,PROCLOEON,1
CIP_medium,KS_0041,RANATRA,1
CIP_medium,KS_0041,SIALIS,2
CIP_medium,KS_0041,SIMULIUM,65
CIP_medium,KS_0041,STENACRON INTERPUNCTATUM,25
CIP_medium,KS_0041,STENELMIS,4
CIP_medium,KS_0041,STENELMIS CRENATA,3
CIP_medium,KS_0041,STENELMIS SEXLINEATA,6
CIP_medium,KS_0041,STENELMIS VITTIPENNIS,1
CIP_medium,KS_0041,STENONEMA FEMORATUM,3
CIP_medium,KS_0041,THIENEMANNIMYIA GROUP,6
CIP_medium,KS_0042,ACERPENNA PYGMAEA,5
CIP_medium,KS_0042,ARGIA,2
CIP_medium,KS_0042,BAETIDAE,1
CIP_medium,KS_0042,BAETIS,42
CIP_medium,KS_0042,BEROSUS,13
CIP_medium,KS_0042,CAENIS,10
CIP_medium,KS_0042,CHEUMATOPSYCHE,99
CIP_medium,KS_0042,CORBICULA FLUMINEA,1
CIP_medium,KS_0042,CORYDALUS CORNUTUS,1
CIP_medium,KS_0042,CRYPTOCHIRONOMUS,1
CIP_medium,KS_0042,DUBIRAPHIA,3
CIP_medium,KS_0042,DUGESIA,1
CIP_medium,KS_0042,ERPOBDELLA,1
CIP_medium,KS_0042,GOMPHIDAE,1
CIP_medium,KS_0042,HYALELLA AZTECA,1
CIP_medium,KS_0042,HYDROPSYCHE ARINALE,1
CIP_medium,KS_0042,HYDROPSYCHE SIMULANS,17
CIP_medium,KS_0042,HYDROPSYCHIDAE,12
CIP_medium,KS_0042,HYDROPTILIDAE,1
CIP_medium,KS_0042,LEUCROCUTA MACULIPENNIS,1
CIP_medium,KS_0042,LIBELLULA,1
