SAMPLEID,LATITUDE,LONGITUDE,COLLDATE
IA_Bio_Samp0334,41.58053,-91.01171,9/24/1996
IA_Bio_Samp0336,41.61269,-91.07087,8/23/2001
IA_Bio_Samp0337,41.56575,-91.0689,9/25/1996
IA_Bio_Samp0341,41.37216,-92.45303,7/27/2017
IA_Bio_Samp0346,40.89431,-92.26798,8/23/2017
IA_Bio_Samp0347,41.04033,-95.28879,10/14/1996
IA_Bio_Samp0348,41.04206,-95.28816,10/14/1996
IA_Bio_Samp0354,41.31854,-95.12912,7/29/2019
IA_Bio_Samp0359,40.60719,-91.68271,7/17/2018
IA_Bio_Samp0364,40.76102,-92.01724,7/31/2019
IA_Bio_Samp0365,41.4468,-95.76336,7/29/1997
IA_Bio_Samp0368,41.14477,-95.7021,8/15/2012
IA_Bio_Samp0371,41.1044,-93.38099,7/29/2014
IA_Bio_Samp0372,42.51022,-95.42089,8/7/1997
IA_Bio_Samp0373,42.51041,-95.41974,8/7/1997
IA_Bio_Samp0374,42.43986,-95.41949,8/9/1997
IA_Bio_Samp0377,43.13269,-94.13984,7/27/2015
IA_Bio_Samp0381,43.15623,-94.28881,9/9/2015
IA_Bio_Samp0382,42.36569,-95.45695,8/14/1997
IA_Bio_Samp0383,42.34846,-95.47159,8/19/1997
IA_Bio_Samp0384,42.33144,-95.42144,8/19/1997
IA_Bio_Samp0385,42.64741,-95.47202,8/20/1997
IA_Bio_Samp0386,42.53246,-95.44903,8/20/1997
IA_Bio_Samp0387,42.74914,-95.45747,8/20/1997
IA_Bio_Samp0388,42.57239,-95.42775,8/20/1997
IA_Bio_Samp0389,42.72782,-95.42623,8/20/1997
IA_Bio_Samp0390,42.37736,-95.40032,8/21/1997
IA_Bio_Samp0391,42.34418,-95.48651,8/21/1997
IA_Bio_Samp0396,42.84507,-92.23308,8/25/2014
IA_Bio_Samp0401,42.4518,-91.80309,8/1/2019
IA_Bio_Samp0406,42.04751,-90.8537,8/12/2019
IA_Bio_Samp0410,42.38376,-91.2402,8/13/2015
IA_Bio_Samp0422,43.00908,-91.95885,9/4/2019
IA_Bio_Samp0424,42.15667,-93.50937,9/10/2003
IA_Bio_Samp0426,42.16023,-93.50582,9/10/2003
IA_Bio_Samp0427,42.03232,-93.59292,9/26/1997
IA_Bio_Samp0428,42.12194,-93.58075,9/29/1997
IA_Bio_Samp0429,42.01168,-93.59572,9/29/1997
IA_Bio_Samp0437,42.17706,-93.53998,9/25/2008
IA_Bio_Samp0439,42.20956,-93.50761,9/24/2003
IA_Bio_Samp0440,42.02325,-93.59557,10/6/1997
IA_Bio_Samp0442,42.23876,-93.58595,9/17/2003
IA_Bio_Samp0443,42.3028,-93.60022,10/9/1997
IA_Bio_Samp0444,42.28211,-93.63031,10/9/1997
IA_Bio_Samp0445,42.18206,-93.58491,10/9/1997
IA_Bio_Samp0449,42.17997,-93.58077,9/18/2003
IA_Bio_Samp0450,42.18092,-93.58418,10/10/1997
IA_Bio_Samp0454,43.31617,-94.40106,8/12/2015
IA_Bio_Samp0458,41.8474,-90.57788,8/31/2017
IA_Bio_Samp0462,41.54475,-94.31602,7/18/2017
IA_Bio_Samp0472,42.08078,-95.36972,8/5/2019
IA_Bio_Samp0477,42.10935,-95.32862,8/9/2017
IA_Bio_Samp0482,40.67042,-94.65089,7/23/2018
IA_Bio_Samp0486,41.16319,-94.92817,7/31/2018
IA_Bio_Samp0487,41.21145,-92.93106,8/25/1998
IA_Bio_Samp0488,41.59532,-93.71561,8/26/1998
IA_Bio_Samp0499,41.77599,-90.61269,8/30/2017
IA_Bio_Samp0503,41.71284,-90.41258,9/27/2017
IA_Bio_Samp0510,41.29589,-94.07614,8/6/2018
IA_Bio_Samp0514,42.33918,-93.89017,7/31/2017
IA_Bio_Samp0517,41.84936,-93.24152,10/8/2015
IA_Bio_Samp0525,42.84789,-95.61304,9/19/2017
IA_Bio_Samp0530,42.46889,-95.01163,9/24/2019
IA_Bio_Samp0531,40.96176,-91.5632,10/13/1998
IA_Bio_Samp0532,40.96646,-91.56266,10/13/1998
IA_Bio_Samp0533,40.96978,-91.56183,10/13/1998
IA_Bio_Samp0534,40.95373,-91.56692,10/14/1998
IA_Bio_Samp0535,40.93712,-91.55403,10/14/1998
IA_Bio_Samp0539,41.44666,-93.69258,8/17/2017
IA_Bio_Samp0543,40.77723,-94.93852,7/30/2018
IA_Bio_Samp0546,41.17399,-94.62411,9/12/2016
IA_Bio_Samp0548,42.26014,-94.05523,8/1/2011
IA_Bio_Samp0549,42.2597,-94.056,10/30/1998
IA_Bio_Samp0569,42.32914,-91.98213,7/22/2019
IA_Bio_Samp0578,42.02006,-93.6307,7/12/2000
IA_Bio_Samp0579,42.0135,-93.60959,7/13/2000
IA_Bio_Samp0584,43.38654,-92.41257,10/10/2000
IA_Bio_Samp0590,41.2104,-95.82722,9/24/2012
IA_Bio_Samp0592,41.26936,-95.80739,8/14/2012
IA_Bio_Samp0593,41.35112,-95.70674,10/11/2000
IA_Bio_Samp0594,41.52124,-95.58687,10/12/2000
IA_Bio_Samp0599,43.38813,-93.34133,7/24/2019
IA_Bio_Samp0600,43.28647,-93.98953,8/22/2000
IA_Bio_Samp0601,43.25627,-94.03061,8/21/2000
IA_Bio_Samp0602,43.24231,-93.98841,8/23/2000
IA_Bio_Samp0603,43.24227,-94.09038,8/24/2000
IA_Bio_Samp0604,43.0201,-96.41071,8/3/2000
IA_Bio_Samp0605,42.96828,-96.45271,8/2/2000
IA_Bio_Samp0613,41.57769,-94.3304,7/25/2012
IA_Bio_Samp0614,42.07832,-92.90526,8/22/2000
IA_Bio_Samp0615,41.83082,-95.93149,9/21/2000
IA_Bio_Samp0616,42.57693,-96.31197,9/20/2000
IA_Bio_Samp0617,42.23619,-92.08497,9/5/2000
IA_Bio_Samp0620,41.99401,-91.58826,8/27/2013
IA_Bio_Samp0621,42.0108,-91.62535,9/19/2000
IA_Bio_Samp0622,42.10945,-91.56241,9/25/2000
IA_Bio_Samp0626,42.94442,-93.57652,8/23/2017
IA_Bio_Samp0630,42.89898,-93.60945,8/24/2017
IA_Bio_Samp0631,42.80461,-93.87105,8/31/2000
IA_Bio_Samp0632,42.76882,-93.92204,8/10/2000
IA_Bio_Samp0633,42.10575,-93.70813,7/14/2000
IA_Bio_Samp0634,40.9251,-91.67366,9/12/2000
IA_Bio_Samp0637,41.30104,-92.7271,10/5/2011
IA_Bio_Samp0639,41.20545,-92.64877,9/2/2011
IA_Bio_Samp0640,42.46857,-92.27271,10/5/1999
IA_Bio_Samp0641,42.38453,-92.25447,10/12/1999
IA_Bio_Samp0645,41.82669,-92.45481,8/25/2010
IA_Bio_Samp0646,41.73573,-92.28826,9/21/1999
IA_Bio_Samp0647,42.52941,-91.12896,8/10/1999
IA_Bio_Samp0649,42.52707,-91.04211,9/18/2008
IA_Bio_Samp0655,42.19665,-90.64833,8/27/2019
IA_Bio_Samp0658,43.00079,-95.24963,9/19/2011
IA_Bio_Samp0659,43.14458,-95.82102,9/14/1999
IA_Bio_Samp0665,40.93835,-93.26857,9/11/2019
IA_Bio_Samp0669,42.015,-90.23185,8/12/2013
IA_Bio_Samp0673,42.71355,-92.91245,9/5/2017
IA_Bio_Samp0676,41.95094,-93.60941,7/19/2011
IA_Bio_Samp0677,42.38311,-93.41901,8/3/1999
IA_Bio_Samp0678,42.32725,-93.19163,8/3/1999
IA_Bio_Samp0680,41.71942,-93.57114,9/30/1999
IA_Bio_Samp0681,41.7185,-93.56998,9/30/1999
IA_Bio_Samp0688,42.52525,-92.44074,8/16/2018
IA_Bio_Samp0695,40.59392,-92.85419,8/29/2016
IA_Bio_Samp0706,41.53744,-93.25885,9/19/2005
IA_Bio_Samp0717,41.65804,-93.27046,9/19/2005
IA_Bio_Samp0718,42.34001,-94.98606,10/3/2001
IA_Bio_Samp0722,41.7755,-94.46292,6/24/2014
IA_Bio_Samp0725,42.07728,-94.24838,8/16/2017
IA_Bio_Samp0729,41.89218,-94.09688,8/3/2017
IA_Bio_Samp0730,43.00934,-94.46291,10/2/2001
IA_Bio_Samp0732,42.68869,-94.79849,9/27/2006
IA_Bio_Samp0734,42.61812,-94.84797,9/28/2006
IA_Bio_Samp0738,43.31857,-92.71387,8/15/2013
IA_Bio_Samp0747,43.45882,-93.09561,8/21/2001
IA_Bio_Samp0749,41.52149,-92.67679,7/26/2012
IA_Bio_Samp0750,41.71004,-92.90339,8/8/2001
IA_Bio_Samp0751,41.77127,-92.99981,8/9/2001
IA_Bio_Samp0752,41.64936,-92.82514,8/7/2001
IA_Bio_Samp0753,41.7735,-91.08165,8/25/2001
IA_Bio_Samp0754,42.27822,-91.26364,7/31/2001
IA_Bio_Samp0755,42.35692,-91.35232,8/13/2001
IA_Bio_Samp0756,43.14359,-95.82535,9/12/2001
IA_Bio_Samp0757,43.1571,-95.86694,9/11/2001
IA_Bio_Samp0758,43.09814,-95.10917,9/6/2001
IA_Bio_Samp0759,43.34071,-95.13253,9/6/2001
IA_Bio_Samp0760,43.31499,-95.16681,9/6/2001
IA_Bio_Samp0763,41.61554,-93.37237,9/9/2009
IA_Bio_Samp0764,42.05116,-91.46388,7/18/2001
IA_Bio_Samp0765,42.02098,-91.47803,7/19/2001
IA_Bio_Samp0766,42.0351,-91.48298,7/17/2001
IA_Bio_Samp0771,42.06543,-90.64013,9/8/2010
IA_Bio_Samp0772,41.87851,-91.34358,7/26/2001
IA_Bio_Samp0773,42.86283,-92.46976,7/24/2001
IA_Bio_Samp0774,41.69919,-91.04512,8/22/2001
IA_Bio_Samp0775,41.75521,-91.0937,8/23/2001
IA_Bio_Samp0779,42.96866,-95.42425,8/29/2017
IA_Bio_Samp0780,43.09657,-96.09572,9/13/2001
IA_Bio_Samp0781,42.17544,-91.3854,8/28/2001
IA_Bio_Samp0782,42.10809,-91.29964,8/27/2001
IA_Bio_Samp0783,42.4911,-92.96799,8/14/2001
IA_Bio_Samp0784,42.54675,-93.05974,8/14/2001
IA_Bio_Samp0785,42.53723,-91.13376,8/21/2001
IA_Bio_Samp0787,42.50288,-91.12441,7/27/2005
IA_Bio_Samp0789,42.55526,-91.09961,7/28/2005
IA_Bio_Samp0790,42.84731,-91.91754,9/18/2001
IA_Bio_Samp0794,42.84293,-91.93985,7/30/2018
IA_Bio_Samp0797,40.72071,-93.87921,7/27/2017
IA_Bio_Samp0798,43.17609,-93.20733,9/24/2001
IA_Bio_Samp0799,43.17143,-93.19904,9/25/2001
IA_Bio_Samp0806,42.13364,-91.71937,8/15/2017
IA_Bio_Samp0807,42.253,-91.4815,8/30/2001
IA_Bio_Samp0810,42.03726,-93.65132,9/22/2017
IA_Bio_Samp0812,41.44773,-93.68,9/5/2019
IA_Bio_Samp0814,41.43396,-93.55768,9/16/2002
IA_Bio_Samp0816,41.27498,-95.14557,8/15/2017
IA_Bio_Samp0817,42.83561,-95.67365,10/15/2002
IA_Bio_Samp0818,42.72188,-96.46953,10/10/2002
IA_Bio_Samp0821,42.15536,-91.66873,8/9/2018
IA_Bio_Samp0824,40.68005,-91.50253,7/16/2002
